,AUC,AP,Recall@5%FPR,min_entrenamiento
XGBoost,0.8905083801099045,0.15623151966376408,0.5261707988980716,0.2380168120066325
LightGBM,0.8945892991860275,0.15336222168242508,0.522038567493113,0.25723905165990196
Regresión logística,0.90083659363431,0.146172601782329,0.5330578512396694,0.09342137972513835
Random Forest,0.8982840214515485,0.14485657678371477,0.522038567493113,0.990253742535909
