,AUC,AP,Recall@5%FPR,min_entrenamiento
LightGBM ajustado + isotónica,0.8895984884101947,0.18720908421363808,0.5326615705350938,
Regresión logística,0.8840123917887583,0.16484421571353514,0.5076441973592772,0.26674486001332604
Random Forest,0.8803949425244946,0.16219939929283456,0.5072967338429465,14.014998265107472
LightGBM,0.8763047020138974,0.15544394990649446,0.48471160528144547,1.4538998365402223
XGBoost,0.8716756672643587,0.1539248985027708,0.4871438498957609,1.293381941318512
