umbral,ahorro_$
0.0,266860.0
0.0,266860.0
0.0,266860.0
0.0,266860.0
0.0,266860.0
0.0,266860.0
0.0,266860.0
0.0,266860.0
0.0,266860.0
0.0,266860.0
8.863676653075696e-05,368350.0
8.863676653075696e-05,368350.0
8.863676653075696e-05,368350.0
8.863676653075696e-05,368350.0
8.863676653075696e-05,368350.0
8.863676653075696e-05,368350.0
8.863676653075696e-05,368350.0
8.863676653075696e-05,368350.0
8.863676653075696e-05,368350.0
8.863676653075696e-05,368350.0
8.863676653075696e-05,368350.0
8.863676653075696e-05,368350.0
8.863676653075696e-05,368350.0
8.863676653075696e-05,368350.0
8.863676653075696e-05,368350.0
8.863676653075696e-05,368350.0
8.863676653075696e-05,368350.0
8.863676653075696e-05,368350.0
8.863676653075696e-05,368350.0
8.863676653075696e-05,368350.0
8.863676653075696e-05,368350.0
0.0002852253280091272,581100.0
0.0002852253280091272,581100.0
0.0002852253280091272,581100.0
0.0002852253280091272,581100.0
0.0002852253280091272,581100.0
0.0002852253280091272,581100.0
0.0002852253280091272,581100.0
0.0002852253280091272,581100.0
0.0002852253280091272,581100.0
0.0002852253280091272,581100.0
0.0002852253280091272,581100.0
0.0002852253280091272,581100.0
0.00082223318533136,703600.0
0.00082223318533136,703600.0
0.00082223318533136,703600.0
0.00082223318533136,703600.0
0.00082223318533136,703600.0
0.00082223318533136,703600.0
0.00082223318533136,703600.0
0.00082223318533136,703600.0
0.00082223318533136,703600.0
0.00082223318533136,703600.0
0.00082223318533136,703600.0
0.00082223318533136,703600.0
0.00082223318533136,703600.0
0.00082223318533136,703600.0
0.00082223318533136,703600.0
0.00082223318533136,703600.0
0.00082223318533136,703600.0
0.00082223318533136,703600.0
0.00082223318533136,703600.0
0.00082223318533136,703600.0
0.00082223318533136,703600.0
0.00082223318533136,703600.0
0.00082223318533136,703600.0
0.00082223318533136,703600.0
0.00082223318533136,703600.0
0.00082223318533136,703600.0
0.00082223318533136,703600.0
0.00082223318533136,703600.0
0.00082223318533136,703600.0
0.00082223318533136,703600.0
0.00082223318533136,703600.0
0.0012254901960784314,997060.0
0.0012254901960784314,997060.0
0.0012254901960784314,997060.0
